Table 1
SNIa Color Excesses and Reddening Laws

	Spec.					CCM+O	F99	
SN	Class.	HV?	s_BV	E(B - V)_MW	E(B - V)_HOST	R_V, U	R_V, B	R_V, M	R_V, U	R_V, B	R_V, M	
2007mm	 ... 	 ... 	0.500(0.020)	0.031(0.001)	0.162(0.049)	 ... 			 ... 			
2007nq	BL	yes	0.749(0.005)	0.031(0.001)	0.046(0.013)	 ... 			 ... 			
2007on	CL	no	0.574(0.003)	0.010(0.001)	<0.007	 ... 			 ... 			
2008C	SS	no	0.947(0.024)	0.072(0.002)	0.270(0.046)							
2008R	CL	no	0.597(0.006)	0.062(0.001)	0.009(0.013)	 ... 			 ... 			
2008bc	N	no	1.035(0.003)	0.225(0.004)	<0.019	 ... 			 ... 			
2008bq	N	no	1.151(0.008)	0.077(0.002)	0.136(0.027)							
2008fp	N	no	1.049(0.005)	0.169(0.002)	0.578(0.024)							
2008gp	 ... 	no	0.974(0.005)	0.104(0.005)	0.098(0.022)	<0.5	<0.7	<1.1				
2008hv	N	no	0.846(0.003)	0.028(0.001)	0.074(0.023)							
2008ia	BL	no	0.837(0.004)	0.195(0.005)	0.066(0.016)	 ... 			 ... 			
2009F	CL	no	0.335(0.008)	0.089(0.002)	0.108(0.047)	 ... 			 ... 			

Notes. Column 1: IAU name; Column 2: Branch et al. (2009) spectroscopic classification from Folatelli et al. (2013); Column 3: whether the SN is high-velocity (HV; Wang et al. 2009); Column 4: stretch parameter; Column 5: Milky Way foreground B - V color excess from Schlafly & Finkbeiner (2011); Column 6: the host-galaxy B - V color excess; Columns 7-9: the best-fit RV when using CCM+O for three priors (uniform, binned, and Gaussian mixture model, respectively); Columns 10-12: same as Columns 7-9, but using F99.
